day,fee_tier,volume
2021-07-10 00:00:00.000 UTC,30bp,170663694.83335406
2021-09-16 00:00:00.000 UTC,30bp,119495870.68968484
2021-09-03 00:00:00.000 UTC,30bp,152152912.57749766
2022-08-09 00:00:00.000 UTC,5bp,572563196.5237744
2021-06-11 00:00:00.000 UTC,30bp,230095343.4140745
2023-04-29 00:00:00.000 UTC,5bp,96061103.08199137
2024-04-16 00:00:00.000 UTC,30bp,75286181.88662224
2022-10-24 00:00:00.000 UTC,5bp,360846357.03658545
2021-08-29 00:00:00.000 UTC,30bp,91102729.70327473
2024-01-07 00:00:00.000 UTC,5bp,108440139.79373442
2025-03-01 00:00:00.000 UTC,5bp,196074691.45107067
2023-06-26 00:00:00.000 UTC,30bp,16680277.024558086
2021-12-12 00:00:00.000 UTC,5bp,584002573.072383
2024-11-26 00:00:00.000 UTC,5bp,381992228.45212764
2023-08-31 00:00:00.000 UTC,30bp,8972620.286530886
2024-07-20 00:00:00.000 UTC,30bp,5357665.486822515
2023-04-11 00:00:00.000 UTC,30bp,8114996.818216151
2023-11-18 00:00:00.000 UTC,30bp,5782498.714730409
2024-02-08 00:00:00.000 UTC,30bp,3316500.337226536
2021-05-26 00:00:00.000 UTC,30bp,447335904.22717386
2023-03-18 00:00:00.000 UTC,30bp,36292642.6777414
2024-01-10 00:00:00.000 UTC,5bp,476249382.0897459
2025-01-15 00:00:00.000 UTC,5bp,181009367.42569974
2021-12-20 00:00:00.000 UTC,5bp,991928457.127253
2021-07-11 00:00:00.000 UTC,5bp,138400951.16843453
2021-11-10 00:00:00.000 UTC,5bp,1058620098.3256931
2021-11-18 00:00:00.000 UTC,5bp,1172406537.527443
2023-08-03 00:00:00.000 UTC,30bp,5034303.835545218
2024-10-22 00:00:00.000 UTC,30bp,15264391.298433093
2024-10-25 00:00:00.000 UTC,30bp,39260603.787362404
2022-07-12 00:00:00.000 UTC,30bp,54307141.17087136
2024-06-10 00:00:00.000 UTC,5bp,255859686.63143516
2023-11-20 00:00:00.000 UTC,30bp,16649717.257775467
2024-04-13 00:00:00.000 UTC,5bp,605102430.949654
2025-02-24 00:00:00.000 UTC,30bp,43389746.38266148
2022-12-28 00:00:00.000 UTC,30bp,15706568.5174759
2024-01-06 00:00:00.000 UTC,5bp,93926487.65287599
2021-10-05 00:00:00.000 UTC,30bp,75518846.46584007
2022-03-04 00:00:00.000 UTC,30bp,71478204.35110414
2024-11-18 00:00:00.000 UTC,30bp,50068769.01220387
2023-04-19 00:00:00.000 UTC,5bp,463787541.35260355
2023-04-13 00:00:00.000 UTC,30bp,11478037.591990933
2023-11-02 00:00:00.000 UTC,30bp,13042259.341870585
2024-08-01 00:00:00.000 UTC,5bp,219896027.55652827
2024-12-09 00:00:00.000 UTC,5bp,413370147.1739792
2024-04-08 00:00:00.000 UTC,5bp,517654549.8883128
2023-03-05 00:00:00.000 UTC,5bp,222700149.40245524
2023-12-03 00:00:00.000 UTC,30bp,5954172.545214258
2024-01-03 00:00:00.000 UTC,30bp,54572572.636120245
2023-07-26 00:00:00.000 UTC,5bp,191340075.7036283
2023-02-07 00:00:00.000 UTC,30bp,27056823.147149846
2023-09-16 00:00:00.000 UTC,5bp,68946932.19790998
2023-09-08 00:00:00.000 UTC,5bp,137401646.35517067
2022-08-07 00:00:00.000 UTC,5bp,328769698.60713017
2024-10-04 00:00:00.000 UTC,5bp,165319578.76311168
2024-07-16 00:00:00.000 UTC,30bp,34066120.05071459
2022-04-04 00:00:00.000 UTC,5bp,749259014.7922136
2023-10-17 00:00:00.000 UTC,5bp,172556793.7947528
2022-09-17 00:00:00.000 UTC,5bp,208765847.60580096
2024-12-22 00:00:00.000 UTC,5bp,193434982.31591684
2024-04-21 00:00:00.000 UTC,5bp,162327129.33633173
2024-01-24 00:00:00.000 UTC,30bp,11968014.861805825
2022-02-11 00:00:00.000 UTC,5bp,1083016791.4157085
2025-01-14 00:00:00.000 UTC,5bp,127522074.93901028
2021-12-08 00:00:00.000 UTC,30bp,152382459.02741188
2022-01-21 00:00:00.000 UTC,30bp,466777667.3584059
2024-11-08 00:00:00.000 UTC,30bp,37824400.69969471
2022-07-17 00:00:00.000 UTC,5bp,639856332.3936799
2023-05-12 00:00:00.000 UTC,5bp,326992925.6035695
2023-05-30 00:00:00.000 UTC,30bp,4492140.755836071
2022-09-20 00:00:00.000 UTC,5bp,335066384.6713458
2022-06-24 00:00:00.000 UTC,5bp,423759637.23933005
2023-11-13 00:00:00.000 UTC,5bp,398084412.58472836
2021-05-28 00:00:00.000 UTC,5bp,2887708.4776721615
2023-03-23 00:00:00.000 UTC,30bp,22072475.43300359
2022-11-14 00:00:00.000 UTC,30bp,99725914.8111841
2024-01-16 00:00:00.000 UTC,30bp,9510309.00165392
2022-03-06 00:00:00.000 UTC,30bp,51808218.2634098
2025-01-22 00:00:00.000 UTC,5bp,447414312.92040145
2023-06-12 00:00:00.000 UTC,30bp,9207806.608468689
2025-03-17 00:00:00.000 UTC,30bp,9618379.31882723
2021-07-16 00:00:00.000 UTC,30bp,77153892.55323304
2022-04-20 00:00:00.000 UTC,5bp,503087916.8383189
2022-04-10 00:00:00.000 UTC,30bp,44802974.72010871
2023-10-09 00:00:00.000 UTC,5bp,215396229.56163472
2023-10-06 00:00:00.000 UTC,30bp,5904185.505536664
2024-06-28 00:00:00.000 UTC,5bp,194791308.25291896
2023-12-11 00:00:00.000 UTC,30bp,25291347.776435476
2024-05-05 00:00:00.000 UTC,5bp,150235415.20821446
2024-05-25 00:00:00.000 UTC,30bp,10056308.774375923
2025-01-11 00:00:00.000 UTC,30bp,1843303.3815206059
2023-06-07 00:00:00.000 UTC,30bp,11859315.420738945
2021-07-18 00:00:00.000 UTC,30bp,63259754.9640415
2023-02-02 00:00:00.000 UTC,5bp,654349703.1964228
2023-02-28 00:00:00.000 UTC,30bp,16485806.989866985
2023-08-13 00:00:00.000 UTC,30bp,2360517.4576167334
2022-08-27 00:00:00.000 UTC,30bp,42427023.84393014
2024-10-17 00:00:00.000 UTC,5bp,129036201.99678698
2022-07-30 00:00:00.000 UTC,5bp,472979421.19145185
2024-07-21 00:00:00.000 UTC,30bp,19326042.57691772
2023-10-23 00:00:00.000 UTC,5bp,467846350.7119675
2023-10-22 00:00:00.000 UTC,5bp,177428924.1501388
2022-10-14 00:00:00.000 UTC,5bp,464113357.9717348
2023-03-13 00:00:00.000 UTC,5bp,1129728019.297069
2024-03-21 00:00:00.000 UTC,30bp,68697641.03751402
2025-02-14 00:00:00.000 UTC,5bp,309700883.3198648
2022-12-25 00:00:00.000 UTC,30bp,11841274.797341323
2021-08-31 00:00:00.000 UTC,5bp,447054959.4176991
2023-12-27 00:00:00.000 UTC,5bp,241571558.02531204
2021-10-28 00:00:00.000 UTC,5bp,619770097.690312
2023-01-20 00:00:00.000 UTC,5bp,356014960.6334149
2021-12-11 00:00:00.000 UTC,5bp,867360399.9972422
2023-09-03 00:00:00.000 UTC,5bp,97908221.99559727
2023-09-26 00:00:00.000 UTC,30bp,1246841.3947368385
2024-07-29 00:00:00.000 UTC,30bp,32005217.107051957
2021-06-15 00:00:00.000 UTC,30bp,169910140.63226387
2022-06-11 00:00:00.000 UTC,5bp,692604938.8757362
2024-06-20 00:00:00.000 UTC,5bp,250783533.87409085
2022-10-08 00:00:00.000 UTC,30bp,9911450.32695112
2022-10-24 00:00:00.000 UTC,30bp,30387370.114162907
2023-03-02 00:00:00.000 UTC,30bp,14924414.471294422
2022-11-01 00:00:00.000 UTC,30bp,30088967.584201712
2023-12-14 00:00:00.000 UTC,5bp,189147026.15944952
2025-03-04 00:00:00.000 UTC,30bp,45530242.09926081
2023-06-20 00:00:00.000 UTC,30bp,12779585.90591173
2021-12-24 00:00:00.000 UTC,5bp,510093374.33817357
2021-11-05 00:00:00.000 UTC,5bp,269159914.8197781
2022-08-17 00:00:00.000 UTC,30bp,70739348.1436857
2022-07-07 00:00:00.000 UTC,5bp,457875677.5763926
2022-07-14 00:00:00.000 UTC,30bp,86180502.49113104
2021-06-02 00:00:00.000 UTC,30bp,284316373.7442866
2023-10-04 00:00:00.000 UTC,30bp,4356255.735453153
2022-06-03 00:00:00.000 UTC,5bp,459814399.4072739
2024-02-16 00:00:00.000 UTC,5bp,142417847.0436954
2024-03-18 00:00:00.000 UTC,30bp,9226693.831246955
2024-09-11 00:00:00.000 UTC,30bp,4463431.785908451
2021-08-21 00:00:00.000 UTC,5bp,263625037.0022822
2021-12-29 00:00:00.000 UTC,30bp,61492510.1192136
2022-01-11 00:00:00.000 UTC,30bp,74183424.77275966
2021-07-08 00:00:00.000 UTC,5bp,314185921.7600271
2023-11-23 00:00:00.000 UTC,5bp,200682593.93972957
2024-08-29 00:00:00.000 UTC,30bp,3144354.702413379
2023-01-07 00:00:00.000 UTC,5bp,71168749.70152189
2022-01-01 00:00:00.000 UTC,5bp,384048097.3069617
2022-05-24 00:00:00.000 UTC,30bp,61342818.543450005
2023-02-10 00:00:00.000 UTC,5bp,555577116.1308005
2023-02-15 00:00:00.000 UTC,30bp,30450222.664894767
2024-11-10 00:00:00.000 UTC,30bp,51858931.652352005
2023-09-13 00:00:00.000 UTC,30bp,6601977.021188094
